  Bin-Id                  Marker-lineage            # genomes   # markers   # marker-sets    0     1     2    3    4    5+   Completeness   Contamination   Strain-heterogeneity  
  bin.11               k__Bacteria (UID203)            5449        104            58         49    55    0    0    0    0       76.90            0.00               0.00          
  bin.72            o__Clostridiales (UID1212)         172         261           147         83   174    3    1    0    0       76.46            2.49              16.67          
  bin.121          p__Actinobacteria (UID2112)          31         211           124         42   169    0    0    0    0       74.19            0.00               0.00          
  bin.194           o__Clostridiales (UID1212)         172         263           149         84   175    4    0    0    0       73.83            2.15              50.00          
  bin.138              k__Bacteria (UID203)            5449        102            56         53    44    5    0    0    0       72.68            8.04              40.00          
  bin.125           o__Clostridiales (UID1212)         172         263           149         71   192    0    0    0    0       71.77            0.00               0.00          
  bin.149           o__Clostridiales (UID1212)         172         261           147         95   164    2    0    0    0       70.58            1.36              100.00         
  bin.89               k__Bacteria (UID203)            5449        104            58         58    44    2    0    0    0       68.97            1.72              100.00         
  bin.177              k__Bacteria (UID203)            5449        103            58         58    45    0    0    0    0       68.97            0.00               0.00          
  bin.160              k__Bacteria (UID203)            5449        104            58         57    46    1    0    0    0       68.10            1.72               0.00          
  bin.41             c__Clostridia (UID1118)           387         223           124         64   151    8    0    0    0       68.10            3.49              25.00          
  bin.113              k__Bacteria (UID203)            5449        103            57         59    44    0    0    0    0       66.67            0.00               0.00          
  bin.159           o__Bacteroidales (UID2617)         213         406           265        157   248    1    0    0    0       66.05            0.38               0.00          
  bin.148          p__Actinobacteria (UID2112)          31         211           124         95   112    4    0    0    0       65.59            2.15              50.00          
  bin.35           p__Actinobacteria (UID2112)          31         211           124         87   104    19   1    0    0       64.01           11.91               9.09          
  bin.23               k__Bacteria (UID203)            5449        102            56         60    39    3    0    0    0       63.75            5.36              66.67          
  bin.115              k__Bacteria (UID203)            5449        103            57         62    41    0    0    0    0       63.16            0.00               0.00          
  bin.162              k__Bacteria (UID203)            5449        104            58         63    41    0    0    0    0       62.41            0.00               0.00          
  bin.5                k__Bacteria (UID203)            5449        102            56         61    41    0    0    0    0       62.20            0.00               0.00          
  bin.164           o__Clostridiales (UID1212)         172         261           147        126   127    7    1    0    0       61.51            3.63              10.00          
  bin.79               k__Bacteria (UID203)            5449        103            57         63    40    0    0    0    0       60.53            0.00               0.00          
  bin.103              k__Bacteria (UID203)            5449        102            56         63    34    5    0    0    0       59.98            8.93              40.00          
  bin.173           o__Clostridiales (UID1212)         172         263           149         78   185    0    0    0    0       59.84            0.00               0.00          
  bin.52            o__Clostridiales (UID1226)         155         278           158        136   136    6    0    0    0       59.29            3.06              16.67          
  bin.189          f__Lachnospiraceae (UID1286)         57         420           207        177   236    7    0    0    0       57.45            1.10              71.43          
  bin.139              k__Bacteria (UID203)            5449        102            56         65    30    4    3    0    0       56.25           17.86              38.46          
  bin.196          f__Lachnospiraceae (UID1255)         90         354           174        195   153    6    0    0    0       54.04            2.87               0.00          
  bin.91              k__Bacteria (UID2329)            174         149            89         52    97    0    0    0    0       53.37            0.00               0.00          
  bin.197              k__Bacteria (UID203)            5449        104            58         71    33    0    0    0    0       52.59            0.00               0.00          
  bin.186            p__Euryarchaeota (UID3)           148         188           125         97    89    2    0    0    0       52.55            0.96               0.00          
  bin.174              k__Bacteria (UID203)            5449        103            57         68    34    1    0    0    0       51.93            1.75               0.00          
  bin.166              k__Bacteria (UID203)            5449        104            58         70    33    1    0    0    0       51.72            1.72               0.00          
  bin.106              k__Bacteria (UID203)            5449        104            58         68    36    0    0    0    0       51.72            0.00               0.00          
  bin.54               k__Bacteria (UID203)            5449        102            56         63    37    2    0    0    0       48.49            2.68              50.00          
  bin.88               k__Bacteria (UID203)            5449        104            58         72    32    0    0    0    0       48.28            0.00               0.00          
  bin.135              k__Bacteria (UID203)            5449        103            57         71    32    0    0    0    0       47.37            0.00               0.00          
  bin.187              k__Bacteria (UID203)            5449        104            58         77    18    9    0    0    0       43.97           13.79              88.89          
  bin.29               k__Bacteria (UID203)            5449        103            57         74    29    0    0    0    0       43.86            0.00               0.00          
  bin.102              k__Bacteria (UID203)            5449        104            58         75    29    0    0    0    0       41.38            0.00               0.00          
  bin.195           o__Clostridiales (UID1212)         172         263           149        142   121    0    0    0    0       40.94            0.00               0.00          
  bin.104          p__Actinobacteria (UID2112)          31         211           124        139    70    2    0    0    0       39.83            0.88              50.00          
  bin.65               k__Bacteria (UID203)            5449        103            57         77    25    1    0    0    0       39.82            0.88              100.00         
  bin.117              k__Bacteria (UID203)            5449        104            58         76    28    0    0    0    0       39.66            0.00               0.00          
  bin.95            o__Clostridiales (UID1212)         172         263           149        127   136    0    0    0    0       39.60            0.00               0.00          
  bin.36               k__Bacteria (UID203)            5449        103            57         79    22    2    0    0    0       39.47            3.51               0.00          
  bin.126              k__Bacteria (UID203)            5449        103            57         80    23    0    0    0    0       38.60            0.00               0.00          
  bin.75            o__Clostridiales (UID1212)         172         263           149        155   108    0    0    0    0       37.92            0.00               0.00          
  bin.112              k__Bacteria (UID203)            5449        103            57         79    24    0    0    0    0       37.72            0.00               0.00          
  bin.100              k__Bacteria (UID203)            5449         98            58         72    26    0    0    0    0       37.41            0.00               0.00          
  bin.21           p__Actinobacteria (UID2112)          31         211           124        142    69    0    0    0    0       37.10            0.00               0.00          
  bin.10         f__Bifidobacteriaceae (UID1462)        65         476           217        314   160    2    0    0    0       36.41            0.92              100.00         
  bin.185              k__Bacteria (UID203)            5449        103            57         78    25    0    0    0    0       36.12            0.00               0.00          
  bin.93               k__Bacteria (UID203)            5449        104            58         79    25    0    0    0    0       34.48            0.00               0.00          
  bin.171           o__Clostridiales (UID1212)         172         263           149        153   110    0    0    0    0       33.56            0.00               0.00          
  bin.182              k__Bacteria (UID203)            5449        103            57         82    21    0    0    0    0       33.33            0.00               0.00          
  bin.156              k__Bacteria (UID203)            5449        103            57         83    19    1    0    0    0       32.46            0.88               0.00          
  bin.144              k__Bacteria (UID203)            5449        103            57         78    24    1    0    0    0       31.75            1.75              100.00         
  bin.163              k__Bacteria (UID203)            5449        103            57         82    21    0    0    0    0       29.98            0.00               0.00          
  bin.128              k__Bacteria (UID203)            5449        104            58         83    21    0    0    0    0       27.59            0.00               0.00          
  bin.1                    root (UID1)                 5656         56            24         48    8     0    0    0    0       27.08            0.00               0.00          
  bin.4                k__Bacteria (UID203)            5449        103            57         86    17    0    0    0    0       26.32            0.00               0.00          
  bin.26            o__Clostridiales (UID1212)         172         263           149        191    72    0    0    0    0       25.61            0.00               0.00          
  bin.32            o__Clostridiales (UID1212)         172         263           149        167    96    0    0    0    0       25.50            0.00               0.00          
  bin.18            o__Clostridiales (UID1226)         155         278           158        173   105    0    0    0    0       25.32            0.00               0.00          
  bin.199              k__Bacteria (UID203)            5449        102            56         88    11    3    0    0    0       25.00            5.36              33.33          
  bin.169              k__Bacteria (UID203)            5449        104            58         87    17    0    0    0    0       24.29            0.00               0.00          
  bin.198              k__Bacteria (UID203)            5449        103            57         87    15    1    0    0    0       23.16            1.75              100.00         
  bin.2                k__Bacteria (UID203)            5449        103            57         86    17    0    0    0    0       23.13            0.00               0.00          
  bin.17               k__Bacteria (UID203)            5449        103            57         88    15    0    0    0    0       22.81            0.00               0.00          
  bin.8                k__Bacteria (UID203)            5449        102            56         87    13    2    0    0    0       22.48            1.79              50.00          
  bin.192              k__Bacteria (UID203)            5449        104            58         87    17    0    0    0    0       22.41            0.00               0.00          
  bin.133              k__Bacteria (UID203)            5449        102            56         84    17    1    0    0    0       22.08            1.79              100.00         
  bin.170           o__Clostridiales (UID1375)          50         332           124        255    77    0    0    0    0       21.77            0.00               0.00          
  bin.109          f__Veillonellaceae (UID1032)         33         423           214        325    98    0    0    0    0       20.56            0.00               0.00          
  bin.168              k__Bacteria (UID203)            5449        102            56         88    14    0    0    0    0       19.64            0.00               0.00          
  bin.77               k__Bacteria (UID203)            5449        104            58         91    13    0    0    0    0       18.97            0.00               0.00          
  bin.127              k__Bacteria (UID203)            5449        104            58         90    14    0    0    0    0       18.97            0.00               0.00          
  bin.155           o__Clostridiales (UID1212)         172         263           149        212    51    0    0    0    0       18.12            0.00               0.00          
  bin.120           o__Clostridiales (UID1212)         172         263           149        214    49    0    0    0    0       18.12            0.00               0.00          
  bin.49               k__Bacteria (UID203)            5449        103            57         91    12    0    0    0    0       17.54            0.00               0.00          
  bin.20            o__Clostridiales (UID1212)         172         263           149        208    55    0    0    0    0       17.45            0.00               0.00          
  bin.183              k__Bacteria (UID203)            5449        104            58         82    22    0    0    0    0       17.24            0.00               0.00          
  bin.157              k__Bacteria (UID203)            5449        104            58         94    10    0    0    0    0       17.24            0.00               0.00          
  bin.181              k__Bacteria (UID203)            5449        103            57         92    10    1    0    0    0       16.11            0.16               0.00          
  bin.58               k__Bacteria (UID203)            5449        104            58         94    10    0    0    0    0       15.52            0.00               0.00          
  bin.145              k__Bacteria (UID203)            5449        104            58         95    9     0    0    0    0       15.52            0.00               0.00          
  bin.22            o__Clostridiales (UID1226)         155         278           158        230    48    0    0    0    0       15.03            0.00               0.00          
  bin.136              k__Bacteria (UID203)            5449        104            58         91    13    0    0    0    0       14.11            0.00               0.00          
  bin.40               k__Bacteria (UID203)            5449        104            58         91    13    0    0    0    0       13.79            0.00               0.00          
  bin.140              k__Bacteria (UID203)            5449        104            58         95    9     0    0    0    0       13.79            0.00               0.00          
  bin.122              k__Bacteria (UID203)            5449        104            58         95    9     0    0    0    0       13.79            0.00               0.00          
  bin.47                   root (UID1)                 5656         56            24         53    3     0    0    0    0       12.50            0.00               0.00          
  bin.64               k__Bacteria (UID203)            5449        103            57         93    10    0    0    0    0       12.28            0.00               0.00          
  bin.9                k__Bacteria (UID203)            5449        104            58         96    8     0    0    0    0       12.07            0.00               0.00          
  bin.48               k__Bacteria (UID203)            5449        102            56         94    7     1    0    0    0       11.61            1.79              100.00         
  bin.137          o__Lactobacillales (UID374)         471         350           191        275    75    0    0    0    0       10.99            0.00               0.00          
  bin.50               k__Bacteria (UID203)            5449        104            58         97    7     0    0    0    0       10.34            0.00               0.00          
  bin.38               k__Bacteria (UID203)            5449        104            58         98    6     0    0    0    0       10.34            0.00               0.00          
  bin.184              k__Bacteria (UID203)            5449        104            58         98    6     0    0    0    0       10.34            0.00               0.00          
  bin.71             g__Prevotella (UID2721)            65         530           280        473    57    0    0    0    0       10.00            0.00               0.00          
  bin.172           o__Clostridiales (UID1212)         172         263           149        216    47    0    0    0    0        8.72            0.00               0.00          
  bin.85               k__Bacteria (UID203)            5449        104            58         98    6     0    0    0    0        8.62            0.00               0.00          
  bin.101              k__Bacteria (UID203)            5449        104            58         98    6     0    0    0    0        8.62            0.00               0.00          
  bin.94                   root (UID1)                 5656         56            24         54    2     0    0    0    0        8.33            0.00               0.00          
  bin.82                   root (UID1)                 5656         56            24         54    2     0    0    0    0        8.33            0.00               0.00          
  bin.61                   root (UID1)                 5656         56            24         54    2     0    0    0    0        8.33            0.00               0.00          
  bin.13                   root (UID1)                 5656         56            24         54    2     0    0    0    0        8.33            0.00               0.00          
  bin.99               k__Bacteria (UID203)            5449        104            58         99    5     0    0    0    0        6.90            0.00               0.00          
  bin.108              k__Bacteria (UID203)            5449        104            58         89    15    0    0    0    0        6.90            0.00               0.00          
  bin.7                k__Bacteria (UID203)            5449        103            57         95    8     0    0    0    0        6.06            0.00               0.00          
  bin.59                   root (UID1)                 5656         56            24         55    1     0    0    0    0        4.17            0.00               0.00          
  bin.53                   root (UID1)                 5656         56            24         55    1     0    0    0    0        4.17            0.00               0.00          
  bin.15                   root (UID1)                 5656         56            24         55    1     0    0    0    0        4.17            0.00               0.00          
  bin.146                  root (UID1)                 5656         56            24         55    1     0    0    0    0        4.17            0.00               0.00          
  bin.68               k__Bacteria (UID203)            5449         98            58         96    2     0    0    0    0        2.30            0.00               0.00          
  bin.96                   root (UID1)                 5656         56            24         56    0     0    0    0    0        0.00            0.00               0.00          
  bin.76                   root (UID1)                 5656         56            24         56    0     0    0    0    0        0.00            0.00               0.00          
  bin.56                   root (UID1)                 5656         56            24         56    0     0    0    0    0        0.00            0.00               0.00          
  bin.51                   root (UID1)                 5656         56            24         56    0     0    0    0    0        0.00            0.00               0.00          
  bin.46                   root (UID1)                 5656         56            24         56    0     0    0    0    0        0.00            0.00               0.00          
  bin.45                   root (UID1)                 5656         56            24         56    0     0    0    0    0        0.00            0.00               0.00          
  bin.44                   root (UID1)                 5656         56            24         56    0     0    0    0    0        0.00            0.00               0.00          
  bin.37                   root (UID1)                 5656         56            24         56    0     0    0    0    0        0.00            0.00               0.00          
  bin.24                   root (UID1)                 5656         56            24         56    0     0    0    0    0        0.00            0.00               0.00          
  bin.167                  root (UID1)                 5656         56            24         56    0     0    0    0    0        0.00            0.00               0.00          
  bin.158                  root (UID1)                 5656         56            24         56    0     0    0    0    0        0.00            0.00               0.00          
  bin.150                  root (UID1)                 5656         56            24         56    0     0    0    0    0        0.00            0.00               0.00          
  bin.143                  root (UID1)                 5656         56            24         56    0     0    0    0    0        0.00            0.00               0.00          
  bin.142                  root (UID1)                 5656         56            24         56    0     0    0    0    0        0.00            0.00               0.00          
  bin.141                  root (UID1)                 5656         56            24         56    0     0    0    0    0        0.00            0.00               0.00          
  bin.118                  root (UID1)                 5656         56            24         56    0     0    0    0    0        0.00            0.00               0.00          
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
